,,,,VAR ETAT SYSTEME,,,VAR STATS,
HS,TYPE EVT TRAITE, ECHEANCIER, ETAT GUICHET(0=LIBRE/1=OCCUPE),NB CLIENT DANS LA QUEUE,QUEUE,NB CLIENTS RECUS, ATTENTE GLOBALE AVANT SERVICE
1.0,Deb,ArrCl 6.68,0,0,,0,0.0,
6.68,ArrCl,AccFA 6.68 : serveur0  |   ArrCl 12.36,0,0,,1,0.0,
6.68,AccFA,AccSrv 6.68 : serveur0,0,0,,1,0.0,
6.68,AccSrv,DepCl 11.84 : serveur0,1,0,,1,0.0,
11.84,DepCl,,0,0,,1,0.0,
12.36,ArrCl,AccFA 12.36 : serveur0  |   ArrCl 18.039999,0,0,,2,0.0,
12.36,AccFA,AccSrv 12.36 : serveur0,0,0,,2,0.0,
12.36,AccSrv,DepCl 17.52 : serveur0,1,0,,2,0.0,
17.52,DepCl,,0,0,,2,0.0,
18.039999,ArrCl,AccFA 18.039999 : serveur0  |   ArrCl 23.72,0,0,,3,0.0,
18.039999,AccFA,AccSrv 18.039999 : serveur0,0,0,,3,0.0,
18.039999,AccSrv,DepCl 23.199999 : serveur0,1,0,,3,0.0,
23.199999,DepCl,,0,0,,3,0.0,
23.72,ArrCl,AccFA 23.72 : serveur0  |   ArrCl 29.4,0,0,,4,0.0,
23.72,AccFA,AccSrv 23.72 : serveur0,0,0,,4,0.0,
23.72,AccSrv,DepCl 28.88 : serveur0,1,0,,4,0.0,
28.88,DepCl,,0,0,,4,0.0,
29.4,ArrCl,AccFA 29.4 : serveur0  |   ArrCl 35.079998,0,0,,5,0.0,
29.4,AccFA,AccSrv 29.4 : serveur0,0,0,,5,0.0,
29.4,AccSrv,DepCl 34.559998 : serveur0,1,0,,5,0.0,
34.559998,DepCl,,0,0,,5,0.0,
35.079998,ArrCl,AccFA 35.079998 : serveur0  |   ArrCl 40.76,0,0,,6,0.0,
35.079998,AccFA,AccSrv 35.079998 : serveur0,0,0,,6,0.0,
35.079998,AccSrv,DepCl 40.239998 : serveur0,1,0,,6,0.0,
40.239998,DepCl,,0,0,,6,0.0,
40.76,ArrCl,AccFA 40.76 : serveur0  |   ArrCl 46.44,0,0,,7,0.0,
40.76,AccFA,AccSrv 40.76 : serveur0,0,0,,7,0.0,
40.76,AccSrv,DepCl 45.92 : serveur0,1,0,,7,0.0,
45.92,DepCl,,0,0,,7,0.0,
46.44,ArrCl,AccFA 46.44 : serveur0  |   ArrCl 52.12,0,0,,8,0.0,
46.44,AccFA,AccSrv 46.44 : serveur0,0,0,,8,0.0,
46.44,AccSrv,DepCl 51.6 : serveur0,1,0,,8,0.0,
51.6,DepCl,,0,0,,8,0.0,
52.12,ArrCl,AccFA 52.12 : serveur0  |   ArrCl 57.8,0,0,,9,0.0,
52.12,AccFA,AccSrv 52.12 : serveur0,0,0,,9,0.0,
52.12,AccSrv,DepCl 57.28 : serveur0,1,0,,9,0.0,
57.28,DepCl,,0,0,,9,0.0,
57.8,ArrCl,AccFA 57.8 : serveur0  |   ArrCl 63.48,0,0,,10,0.0,
57.8,AccFA,AccSrv 57.8 : serveur0,0,0,,10,0.0,
57.8,AccSrv,DepCl 62.96 : serveur0,1,0,,10,0.0,
62.96,DepCl,,0,0,,10,0.0,
63.48,ArrCl,AccFA 63.48 : serveur0  |   ArrCl 69.159996,0,0,,11,0.0,
63.48,AccFA,AccSrv 63.48 : serveur0,0,0,,11,0.0,
63.48,AccSrv,DepCl 68.64 : serveur0,1,0,,11,0.0,
68.64,DepCl,,0,0,,11,0.0,
69.159996,ArrCl,AccFA 69.159996 : serveur0  |   ArrCl 74.84,0,0,,12,0.0,
69.159996,AccFA,AccSrv 69.159996 : serveur0,0,0,,12,0.0,
69.159996,AccSrv,DepCl 74.31999 : serveur0,1,0,,12,0.0,
74.31999,DepCl,,0,0,,12,0.0,
74.84,ArrCl,AccFA 74.84 : serveur0  |   ArrCl 80.52,0,0,,13,0.0,
74.84,AccFA,AccSrv 74.84 : serveur0,0,0,,13,0.0,
74.84,AccSrv,DepCl 80.0 : serveur0,1,0,,13,0.0,
80.0,DepCl,,0,0,,13,0.0,
80.52,ArrCl,AccFA 80.52 : serveur0  |   ArrCl 86.2,0,0,,14,0.0,
80.52,AccFA,AccSrv 80.52 : serveur0,0,0,,14,0.0,
80.52,AccSrv,DepCl 85.67999 : serveur0,1,0,,14,0.0,
85.67999,DepCl,,0,0,,14,0.0,
86.2,ArrCl,AccFA 86.2 : serveur0  |   ArrCl 91.88,0,0,,15,0.0,
86.2,AccFA,AccSrv 86.2 : serveur0,0,0,,15,0.0,
86.2,AccSrv,DepCl 91.36 : serveur0,1,0,,15,0.0,
91.36,DepCl,,0,0,,15,0.0,
91.88,ArrCl,AccFA 91.88 : serveur0  |   ArrCl 97.56,0,0,,16,0.0,
91.88,AccFA,AccSrv 91.88 : serveur0,0,0,,16,0.0,
91.88,AccSrv,DepCl 97.03999 : serveur0,1,0,,16,0.0,
97.03999,DepCl,,0,0,,16,0.0,
